|    x     |    y     |   s   | op  |    z     |  of   |  eq   |
| 10101010 | 01010101 |   0   | 000 | 00000000 |   0   |   0   |
| 11010011 | 11010011 |   0   | 000 | 00000000 |   0   |   1   |
| 10111011 | 01101001 |   0   | 001 | 00101001 |   0   |   0   |
| 01101001 | 10111011 |   0   | 010 | 11111011 |   0   |   0   |
| 01101001 | 00110101 |   0   | 011 | 01011100 |   0   |   0   |
| 01100111 | 01100100 |   0   | 100 | 11001011 |   0   |   0   |
| 01111001 | 10010101 |   0   | 100 | 00001110 |   1   |   0   |
| 10101011 | 10001010 |   0   | 101 | 00100001 |   0   |   0   |
| 01001101 | 00100110 |   1   | 100 | 01110011 |   0   |   0   |
| 11101101 | 10010001 |   1   | 100 | 01111110 |   1   |   0   |
| 11011001 | 11001010 |   1   | 101 | 00001111 |   0   |   0   |
| 11110001 | 01001111 |   1   | 101 | 10100010 |   0   |   0   |
| 00000110 | 00010100 |   0   | 110 | 01111000 |   0   |   0   |
| 11010101 | 00101101 |   0   | 110 | 01110001 |   1   |   0   |
| 00000011 | 11110101 |   0   | 111 | 11011111 |   0   |   0   |
| 10000001 | 01111101 |   0   | 111 | 11111101 |   1   |   0   |
